Address_ID,Address,Land_size(Perches),Price_Scale,Land_type,Posted_Date_new,Distance from fort,count_govtschools_A,min_dist_govtschools_a,count_govtschools_B,min_dist_govtschools_b,count_semigovtschools,min_dist_semigovtschools,count_intlschools,min_dist_intlschools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,min_dist_nearest_FinanceCompany,count_FinanceCompanies_within_2km,min_dist_nearest_Govt_Hospital,count_Govt_Hospitals,min_dist_nearest_Pvt_Hospital,count_Pvt_Hospital,min_dist_nearest_Pvt_Med_center,count_Pvt_Med_Centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,Mentioned Price(Rs),Price per Perch,latitude,longitude,bakery_count,bakery_mdist,bank_count,bank_mdist,bar_count,bar_mdist,bus_station_count,bus_station_mdist,clothing_store_count,clothing_store_mdist,doctor_count,doctor_mdist,gas_station_count,gas_station_mdist,gym_count,gym_mdist,hospital_count,hospital_mdist,university_count,university_mdist,train_station_count,train_station_mdist,supermarket_count,supermarket_mdist,store_count,store_mdist,school_count,school_mdist,restaurant_count,restaurant_mdist,police_count,police_mdist,post_office_count,post_office_mdist,pharmacy_count,pharmacy_mdist,movie_theater_count,movie_theater_mdist,library_count,library_mdist,Air
12,nawala,15.0,per perch,"Commercial, Residential, Other",9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 3,200,000.00 "," 3,200,000.00 ",6.900658391819221,79.9004404284837,20,168,10,3050,5,1697,1,1622,20,412,8,855,3,2759,13,638,15,92,14,718,0,0,7,2883,20,156,20,638,20,27,0,0,2,2955,10,2925,0,0,1,1606,124
13,dehiwala,30.9,per perch,"Commercial, Residential",9/21/2021,10.96,1,0.775167544,5,0.417572798,2,1.547187854,1,0.824534671,1,1.555973958,11.53988387,0.42972373,0.126142707,18,0.732040308,3,2.020949248,0,2.069620526,0,0.26606382,1,0.460378059,12,0.545357036,3," 2,700,000.00 "," 2,700,000.00 ",6.851036868665031,79.86438609019854,20,119,16,13,4,1538,0,0,20,64,17,236,3,609,12,120,20,65,20,172,1,249,13,121,20,91,20,87,20,65,1,830,3,43,17,65,1,1301,1,1707,122
5,piliyandala,6.5,total price,"Commercial, Residential",9/21/2021,18.85,0,3.819412539,3,0.364496008,0,4.687850894,0,8.734721412,0,2.75753304,6.672114016,5.148238391,0.144675834,8,0.10170684,4,3.948000811,0,0.115702883,1,0.338692207,1,0.49262073,12,0.048597652,2," 5,814,000.00 "," 894,461.54 ",6.755130270757059,79.91915242755366,4,629,0,0,0,0,2,16747,5,2360,1,459,0,0,0,0,1,809,0,0,0,0,1,791,20,289,1,792,5,35,0,0,0,0,1,1945,0,0,0,0,116
11,madapatha,6.7,total price,"Commercial, Residential",9/21/2021,22.59,0,4.208843525,1,0.409900767,0,5.773967779,0,12.55411195,0,4.731446487,5.842113383,5.025225136,3.189759435,0,3.70997153,0,5.134437985,0,3.907407861,0,4.290938801,0,3.053364406,0,3.525063347,0," 6,075,500.00 "," 906,791.04 ",6.762475899892606,79.93514172004343,7,190,0,0,0,0,10,172,9,83,4,651,1,1242,2,619,5,251,0,0,0,0,0,0,20,83,8,209,12,302,0,0,1,1137,1,1064,0,0,0,0,116
4,kesbewa,6.5,total price,"Commercial, Residential",9/21/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 5,811,000.00 "," 894,000.00 ",6.765587746177529,79.96194047327248,1,4007,0,0,0,0,8,4628,0,0,1,4797,0,0,0,0,0,0,0,0,0,0,1,494,8,177,1,4649,1,1596,0,0,0,0,0,0,0,0,0,0,116
12,nawala,8.3,per perch,Commercial,9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 8,500,000.00 "," 8,500,000.00 ",6.895525913781652,79.89032379901232,20,231,6,782,4,919,2,427,20,290,10,11,1,810,12,56,14,500,7,476,0,0,8,238,20,148,20,56,20,95,1,1238,2,1093,9,624,1,779,1,895,124
2,makandana,6.7,total price,"Commercial, Residential",9/21/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 6,152,000.00 "," 918,208.96 ",6.778293138562184,79.94974339602999,14,215,3,217,1,221,10,101,14,215,3,224,0,0,1,2193,6,255,2,747,0,0,1,1547,20,330,11,215,16,330,0,0,1,215,4,249,0,0,0,0,116
19,boralesgamuwa,25.0,per perch,"Commercial, Residential, Other",9/21/2021,13.98,0,4.016690619,1,0.429338572,0,2.727912724,0,3.818288657,1,1.440497502,8.830429042,2.212403368,0.071858443,10,0.087264039,2,1.864090006,1,4.97374457,0,0.811285315,1,0.100746527,11,0.886448814,1," 1,350,000.00 "," 1,350,000.00 ",6.850386644830155,79.89190128672203,20,326,5,771,3,391,1,685,20,277,8,444,4,1018,9,1372,9,711,12,778,0,0,7,929,20,505,20,364,20,473,0,0,3,272,12,884,0,0,0,0,121
23,kirulapone,8.0,per perch,"Residential, Other",9/21/2021,8.43,6,0.939433548,9,0.601617972,4,0.555210369,6,0.529896202,5,0.68379499,8.270892022,1.393859989,0.06226201,43,0.107440189,11,1.478613636,1,1.066322748,6,1.082209212,3,0.220060054,23,0.776471572,5," 3,625,000.00 "," 3,625,000.00 ",6.879702557345598,79.8747286484937,20,111,20,170,14,2223,0,0,20,125,18,740,2,961,11,1609,18,31,10,775,1,1657,14,513,20,111,20,235,20,59,1,245,4,637,20,684,2,1325,4,870,123
16,mount lavinia,11.5,per perch,"Commercial, Residential, Other",9/21/2021,12.89,0,2.727171086,5,0.191582432,2,0.581298364,0,2.842966318,0,2.847591288,12.64244388,0.528389071,0.028453853,12,0.323762423,5,3.90721302,0,4.077519439,0,1.188857545,2,0.113299872,20,1.052875673,5," 3,000,000.00 "," 3,000,000.00 ",6.838524452991483,79.87033682330494,20,38,12,481,12,556,0,0,20,8,8,813,3,551,6,789,18,90,8,558,0,0,12,139,20,9,20,13,20,335,0,0,1,1062,16,61,0,0,1,944,121
